iter	Passed	Remaining
538	78349	212371
539	78477	212179
540	78640	212081
541	78798	211972
542	78933	211797
543	79090	211682
544	79219	211493
545	79369	211361
546	79525	211243
547	79658	211066
548	79813	210944
549	79976	210845
550	80127	210715
551	80277	210582
552	80422	210436
553	80565	210285
554	80696	210102
555	80840	209951
556	80965	209753
557	81127	209653
558	81256	209464
559	81394	209300
560	81525	209117
561	81681	208999
562	81831	208867
563	81958	208675
564	82106	208536
565	82279	208461
566	82423	208313
567	82574	208179
568	82681	207938
569	82795	207714
570	82923	207526
571	83077	207402
572	83203	207209
573	83382	207149
574	83508	206956
575	83620	206727
576	83758	206565
577	83896	206401
578	84045	206268
579	84191	206123
580	84321	205942
581	84486	205846
582	84612	205653
583	84742	205472
584	84892	205338
585	85036	205191
586	85155	204983
587	85299	204833
588	85435	204668
589	85559	204473
590	85694	204303
591	85829	204134
592	85987	204019
593	86119	203844
594	86296	203776
595	86429	203602
596	86558	203418
597	86699	203266
598	86812	203046
599	86970	202931
600	87093	202736
601	87219	202546
602	87353	202376
603	87515	202270
604	87659	202123
605	87801	201973
606	87931	201793
607	88087	201673
608	88211	201482
609	88368	201365
610	88514	201221
611	88650	201056
612	88800	200923
613	88975	200846
614	89113	200686
615	89248	200518
616	89394	200378
617	89551	200258
618	89677	200071
619	89846	199979
620	89998	199851
621	90139	199698
622	90254	199487
623	90401	199346
624	90528	199163
625	90669	199010
626	90795	198823
627	90926	198647
628	91063	198487
629	91199	198323
630	91345	198181
631	91488	198033
632	91613	197844
633	91740	197661
634	91886	197518
635	92023	197359
636	92155	197186
637	92336	197120
638	92469	196950
639	92629	196836
640	92785	196717
641	92931	196574
642	93052	196378
643	93197	196236
644	93334	196074
645	93466	195902
646	93628	195794
647	93763	195630
648	93886	195439
649	94046	195328
650	94203	195208
651	94348	195063
652	94495	194924
653	94611	194719
654	94770	194605
655	94899	194429
656	95061	194319
657	95195	194152
658	95362	194053
659	95521	193936
660	95709	193881
661	95842	193711
662	95971	193536
663	96095	193348
664	96222	193168
665	96324	192938
666	96422	192699
667	96525	192472
668	96670	192328
669	96820	192196
670	96966	192053
671	97090	191869
672	97246	191748
673	97357	191536
674	97496	191381
675	97638	191233
676	97813	191149
677	97967	191021
678	98136	190925
679	98261	190742
680	98416	190619
681	98590	190530
682	98723	190364
683	98845	190177
684	98992	190037
685	99102	189825
686	99212	189614
687	99341	189442
688	99461	189251
689	99596	189089
690	99707	188882
691	99842	188719
692	100045	188685
693	100175	188514
694	100312	188356
695	100473	188244
696	100620	188103
697	100746	187924
698	100897	187794
699	101051	187666
700	101201	187532
701	101335	187369
702	101458	187186
703	101614	187063
704	101767	186934
705	101905	186778
706	102044	186624
707	102162	186431
708	102266	186214
709	102409	186067
710	102555	185926
711	102711	185803
712	102838	185628
713	102994	185505
714	103146	185375
715	103302	185252
716	103448	185110
717	103585	184952
718	103730	184810
719	103863	184646
720	103996	184482
721	104135	184327
722	104295	184212
723	104432	184055
724	104577	183912
725	104687	183708
726	104853	183602
727	105004	183468
728	105158	183342
729	105274	183147
730	105432	183029
731	105558	182851
732	105726	182749
733	105855	182579
734	106009	182451
735	106118	182246
736	106264	182105
737	106385	181922
738	106522	181765
739	106644	181584
740	106798	181456
741	106964	181349
742	107086	181167
743	107215	180998
744	107319	180786
745	107418	180567
746	107547	180397
747	107690	180252
748	107822	180087
749	107996	179994
750	108166	179894
751	108305	179740
752	108461	179616
753	108584	179437
754	108717	179275
755	108838	179093
756	108999	178977
757	109151	178847
758	109295	178703
759	109423	178533
760	109576	178403
761	109729	178274
762	109861	178111
763	110021	177993
764	110514	178412
765	110957	178749
766	111412	179102
767	111766	179291
768	112071	179401
769	112453	179633
770	112777	179771
771	113185	180041
772	113570	180273
773	113928	180460
774	114243	180578
775	114599	180759
776	115060	181105
777	115446	181331
778	115743	181416
779	116154	181677
780	116517	181862
781	116835	181976
782	117194	182152
783	117453	182172
784	117789	182310
785	118122	182444
786	118465	182590
787	118884	182853
788	119294	183100
789	119571	183141
790	119979	183381
791	120385	183617
792	120767	183816
793	121165	184037
794	121486	184140
795	121886	184360
796	122233	184500
797	122643	184733
798	123040	184945
799	123454	185181
800	123852	185392
801	124444	185890
802	124933	186232
803	125321	186424
804	125717	186624
805	126097	186799
806	126495	186999
807	126853	187140
808	127211	187278
809	127583	187437
810	127946	187580
811	128365	187805
812	128789	188035
813	129134	188149
814	129535	188342
815	129891	188470
816	130245	188593
817	130745	188926
818	132264	190725
819	133467	192062
820	134330	192906
821	135203	193758
822	135860	194298
823	136573	194914
824	137021	195151
825	137580	195543
826	138287	196144
827	138682	196300
828	139314	196787
829	139808	197079
830	140197	197220
831	140697	197518
832	141072	197636
833	141517	197852
834	141909	197994
835	142279	198101
836	142653	198214
837	143054	198363
838	143458	198515
839	143795	198574
840	144143	198646
841	144510	198744
842	144854	198810
843	145196	198871
844	145551	198949
845	145935	199066
846	146332	199198
847	146638	199207
848	147021	199318
849	147471	199520
850	147820	199583
851	148242	199744
852	148589	199803
853	148974	199911
854	149299	199939
855	149699	200065
856	150075	200159
857	150567	200405
858	151013	200589
859	151360	200640
860	151763	200765
861	152145	200859
862	152546	200979
863	152976	201135
864	153336	201199
865	153729	201304
866	154105	201385
867	154550	201556
868	154935	201647
869	155381	201816
870	155749	201884
871	156125	201960
872	156570	202125
873	156916	202159
874	157364	202325
875	157731	202386
876	158076	202416
877	158462	202499
878	158850	202584
879	159194	202611
880	159581	202692
881	159916	202706
882	160310	202793
883	160688	202860
884	161013	202858
885	161420	202959
886	161792	203016
887	162224	203146
888	162596	203200
889	162996	203287
890	163423	203408
891	163687	203325
892	164069	203387
893	164436	203430
894	164853	203534
895	165266	203631
896	165703	203757
897	166062	203787
898	166448	203848
899	166777	203839
900	167141	203871
901	167531	203934
902	167912	203986
903	168308	204055
904	168691	204107
905	169097	204186
906	169439	204186
907	169849	204268
908	170186	204261
909	170573	204312
910	170877	204264
911	171297	204354
912	171687	204408
913	172084	204467
914	172446	204485
915	172869	204574
916	173249	204611
917	173690	204719
918	174081	204768
919	174488	204834
920	174910	204916
921	175248	204899
922	175672	204982
923	176030	204987
924	176386	204989
925	176756	205007
926	177087	204977
927	177496	205039
928	177934	205132
929	178320	205164
930	178704	205193
931	179024	205148
932	179373	205135
933	179770	205177
934	180182	205234
935	180579	205274
936	180872	205194
937	181484	205476
938	181814	205436
939	182169	205425
940	182557	205449
941	182893	205415
942	183310	205471
943	183726	205524
944	184185	205624
945	184596	205671
946	184989	205695
947	185375	205712
948	185716	205677
949	186094	205683
950	186493	205711
951	186885	205731
952	187313	205788
953	187658	205755
954	188036	205757
955	188431	205776
956	188771	205735
957	189180	205768
958	189574	205784
959	190028	205864
960	190474	205934
961	190857	205936
962	191385	206092
963	191786	206110
964	192169	206109
965	192622	206181
966	192972	206143
967	193270	206049
968	193671	206063
969	194054	206057
970	194428	206042
971	194776	205997
972	195153	205983
973	195463	205898
974	195889	205934
975	196184	205832
976	196541	205795
977	196925	205784
978	197285	205749
979	197690	205759
980	198037	205708
981	198367	205639
982	198771	205646
983	199074	205548
984	199432	205506
985	199789	205463
986	200202	205475
987	200598	205471
988	200921	205391
989	201255	205321
990	201564	205225
991	201980	205238
992	202335	205187
993	202728	205175
994	203077	205118
995	203429	205063
996	203822	205049
997	204141	204959
998	204481	204890
999	204952	204952
1000	205295	204885
1001	205743	204921
1002	206120	204887
1003	206469	204824
1004	206926	204867
1005	207278	204805
1006	207759	204871
1007	208140	204836
1008	208428	204710
1009	208893	204756
1010	209278	204724
1011	209636	204664
1012	210089	204697
1013	210492	204680
1014	210865	204633
1015	211268	204614
1016	211662	204586
1017	212144	204642
1018	212580	204652
1019	212972	204620
1020	213376	204598
1021	213740	204538
1022	214158	204528
1023	214576	204517
1024	214926	204442
1025	215296	204385
1026	215679	204338
1027	216069	204298
1028	216466	204265
1029	216856	204224
1030	217204	204142
1031	217605	204110
1032	217991	204064
1033	218355	203995
1034	218740	203946
1035	219085	203859
1036	219516	203852
1037	219840	203744
1038	220181	203652
1039	220489	203529
1040	220889	203489
1041	221286	203447
1042	221648	203372
1043	221991	203279
1044	222425	203269
1045	222807	203210
1046	223220	203179
1047	223634	203148
1048	224035	203105
1049	224400	203029
1050	224779	202964
1051	225175	202914
1052	225482	202784
1053	225912	202763
1054	226305	202709
1055	226650	202612
1056	226957	202479
1057	227321	202397
1058	227757	202379
1059	228110	202286
1060	228453	202184
1061	228862	202140
1062	229273	202097
1063	229655	202027
1064	230112	202024
1065	230434	201900
1066	230847	201856
1067	231228	201783
1068	231599	201701
1069	231941	201594
1070	232255	201461
1071	232663	201410
1072	233026	201318
1073	233361	201203
1074	233709	201098
1075	234088	201020
1076	234444	200921
1077	234806	200826
1078	235216	200772
1079	235578	200677
1080	235988	200623
1081	236393	200563
1082	236779	200486
1083	237152	200397
1084	237584	200359
1085	237940	200255
1086	238355	200200
1087	238746	200126
1088	239277	200167
1089	239648	200073
1090	239972	199940
1091	240335	199839
1092	240696	199735
1093	241063	199637
1094	241700	199761
1095	242078	199670
1096	242415	199545
1097	242825	199479
1098	243144	199338
1099	243518	199242
1100	243859	199118
1101	244237	199024
1102	244626	198939
1103	245020	198857
1104	245402	198764
1105	245757	198650
1106	246136	198554
1107	246539	198477
1108	246927	198388
1109	247242	198239
1110	247612	198134
1111	247887	197953
1112	248311	197890
1113	248701	197800
1114	249114	197727
1115	249459	197600
1116	249848	197507
1117	250252	197426
1118	250631	197324
1119	251031	197238
1120	251366	197102
1121	251723	196981
1122	252126	196896
1123	252464	196760
1124	252914	196711
1125	253433	196714
1126	253742	196554
1127	254154	196474
1128	254511	196350
1129	254944	196284
1130	255319	196173
1131	255677	196049
1132	256111	195982
1133	256461	195851
1134	256854	195752
1135	257251	195655
1136	257550	195484
1137	257905	195355
1138	258376	195313
1139	258785	195224
1140	259104	195066
1141	259482	194952
1142	259884	194856
1143	260199	194694
1144	260621	194612
1145	260983	194485
1146	261346	194357
1147	261655	194190
1148	261987	194039
1149	262345	193907
1150	262790	193839
1151	263113	193680
1152	263484	193557
1153	263829	193413
1154	264209	193296
1155	264572	193165
1156	264943	193039
1157	265277	192887
1158	265653	192764
1159	266002	192622
1160	266321	192458
1161	266721	192351
1162	267086	192219
1163	267449	192085
1164	267770	191921
1165	268150	191799
1166	268560	191697
1167	269017	191628
1168	269426	191525
1169	269741	191355
1170	270087	191206
1171	270536	191129
1172	270935	191017
1173	271297	190878
1174	271642	190727
1175	272085	190644
1176	272470	190520
1177	272827	190376
1178	273271	190293
1179	273638	190155
1180	274051	190049
